Code,City,Sights & landmarks,Museums,Concerts & shows,Theatres,Museum visitors,Hotel,Activities
LON,Londres,663,311,333,NaN,NaN,100,25
PRG,Praga,340,309,136,82,3150000,100,25
CDG,Paris,468,216,239,137,28059699,100,25
TXL,Berlín (Tegel),315,204,105,35,16204390,100,25
FCO,Roma (Fiumicino),795,191,94,NaN,NaN,100,25
BCN,Barcelona,283,139,93,57,6303262,100,25
AMS,Ámsterdam,166,135,81,NaN,NaN,100,25
VIE,Viena,244,117,99,NaN,NaN,100,25
MXP,Milán,346,117,47,NaN,NaN,100,25
FLR,Florencia,165,113,26,NaN,NaN,100,25
MAD,Madrid,376,112,137,52,9993816,100,25
OSL,Oslo,123,103,27,NaN,NaN,100,25
BRU,Bruselas,161,98,21,104,3416254,100,25
ATH,Atenas,112,97,32,NaN,NaN,100,25
BUD,Budapest,180,95,38,101,3338000,100,25
EDI,Edimburgo,166,90,28,NaN,NaN,100,25
DUB,Dublín,182,89,71,17,2356443,100,25
LIS,Lisboa,163,88,54,45,4542710,100,25
TLL,Tallin,87,86,11,6,1129713,100,25
VCE,Venecia,204,86,23,NaN,NaN,100,25
CPH,Copenhague,148,78,34,116,3602399,100,25
ARN,Estocolmo,95,69,19,49,7806220,100,25
TRN,Turin,109,67,19,NaN,NaN,100,25
KRK,Cracovia,92,63,25,12,4426941,100,25
MUC,Múnich,122,61,30,19,6003749,100,25
HEL,Helsinki,85,61,16,11,1490665,100,25
WAW,Varsovia,118,60,19,32,3950644,100,25
BLQ,Bolonia,115,53,11,NaN,NaN,100,25
VLC,Valencia,93,51,18,13,2504884,100,25
OTP,Bucarest,105,47,24,37,1468284,100,25
SVQ,Sevilla,147,41,38,NaN,2633830,100,25
ZAG,Zagreb,56,39,13,80,475179,100,25
FRA,Frankfurt,88,38,20,12,2071835,100,25
BTS,Bratislava,124,36,2,26,537412,100,25
DRS,Dresden,56,34,13,9,3202523,100,25
BGO,Bergen,27,32,7,NaN,NaN,100,25
GRX,Granada,105,29,21,NaN,1583858,100,25
BHX,Birmingham,110,29,30,8,730000,100,25
NUE,Nuremberg,59,28,12,6,1782626,100,25
LYS,Lyon,64,28,27,37,853031,100,25
MAN,Manchester,50,28,25,12,1249930,100,25
TLS,Toulouse,31,27,20,14,576528,100,25
STR,Stuttgart,44,24,16,14,2323703,100,25
LIL,Lille,50,20,6,21,749255,100,25
NTE,Nantes,28,15,6,13,415276,100,25
SPU,Split,44,14,2,9,114639,100,25
LNZ,Linz,13,13,4,NaN,NaN,100,25
BIO,Bilbao,38,13,10,NaN,1341952,100,25
CAG,Cagliari,57,12,5,NaN,NaN,100,25
GRQ,Groningen,4,11,3,NaN,NaN,100,25
SCQ,Santiago,39,10,1,NaN,339124,100,25
CLJ,Cluj-Napoca,35,10,4,7,347431,100,25
EIN,Eindhoven,11,9,5,NaN,NaN,100,25
